Name of Institution,Street Address,City,ZIP Code,County,Georeference
ACMG Federal Credit Union,1753 MILTON AVENUE,SOLVAY,13209,Onondaga,POINT (-76.20518 43.06087)
ACMG Federal Credit Union,4659 ONONDAGA BOULEVARD,SYRACUSE,13219,Onondaga,POINT (-76.19225 43.03315)
ACMG Federal Credit Union,4800 SOUTH SALINA STREET,SYRACUSE,13205,Onondaga,POINT (-76.14277 43.00059)
Abacus Federal Savings Bank,36-30 MAIN STREET,FLUSHING,11354,Queens,POINT (-73.83159 40.76234)
Abacus Federal Savings Bank,4824 8TH AVENUE,BROOKLYN,11220,Kings,POINT (-74.00303 40.64176)
Abacus Federal Savings Bank,6-8 Bowery,New York,10013,New York,POINT (-73.99749 40.71425)
Access Federal Credit Union,2094 Glenwood Plaza,Oneida,13421,Madison,POINT (-75.63241 43.0537)
Access Federal Credit Union,74-76 Main Street,Camden,13316,Oneida,POINT (-75.74831 43.3349)
Access Federal Credit Union,230 South James Street,Rome,13440,Oneida,POINT (-75.46052 43.20849)
Access Federal Credit Union,6 Franklin,Clinton,13323,Oneida,POINT (-75.38253 43.04741)
Access Federal Credit Union,390 West Seneca Street,Sherrill,13461,Oneida,POINT (-75.60661 43.07699)
Adirondack Bank,108 Codling Street,Old Forge,13420,Herkimer,POINT (-74.97061 43.71195)
Adirondack Bank,808 Main Street,Sylvan Beach,13157,Oneida,POINT (-75.72882 43.19907)
Adirondack Bank,67 Main Street,Saranac Lake,12983,Franklin,POINT (-74.13165 44.32633)
Adirondack Bank,139 Church Street Extension,Saranac Lake,12983,Franklin,POINT (-74.13031 44.32844)
Adirondack Bank,38 Hadjis Way,Lake Placid,12946,Essex,POINT (-73.99889 44.29677)
Adirondack Bank,448 Route 3,Plattsburgh,12901,Clinton,POINT (-73.49163 44.69693)
Adirondack Bank,136 Oriskany Boulevard,Whitesboro,13492,Oneida,POINT (-75.29353 43.12031)
Adirondack Bank,13150 State Route 12,Boonville,13309,Oneida,POINT (-75.31594 43.47601)
Adirondack Bank,Utica College,Utica,13501,Oneida,
Adirondack Bank,29 West Main Street,Mohawk,13407,Herkimer,POINT (-75.00581 43.01113)
Adirondack Bank,214 North Washington Street,Herkimer,13350,Herkimer,POINT (-74.98616 43.02785)
Adirondack Bank,1709 Black River Boulevard,Rome,13440,Oneida,POINT (-75.43945 43.23142)
Adirondack Bank,500 East Main Street,Little Falls,13365,Herkimer,POINT (-74.8591 43.04345)
Adirondack Bank,296 West Main Street,Ilion,13357,Herkimer,POINT (-75.0464 43.01998)
Adirondack Bank,9576 Main Street,Holland Patent,13354,Oneida,POINT (-75.25441 43.24311)
Adirondack Bank,185 Genesee Street,Utica,13501,Oneida,POINT (-75.23121 43.1015)
Adirondack Bank,4697 Commercial Drive,New Hartford,13413,Oneida,POINT (-75.31154 43.08968)
Adirondack Bank,2817 Genesee Street,Utica,13501,Oneida,POINT (-75.28472 43.07486)
"Adirondack Trust Company, The",79 Main Street,Queensbury,12804,Warren,POINT (-73.67204 43.29927)
"Adirondack Trust Company, The",350 Canada Street,Lake George,12845,Warren,POINT (-73.71215 43.42688)
"Adirondack Trust Company, The",51B Luther Forest Blvd.,Malta,12118,Saratoga,POINT (-73.7854 42.94767)
"Adirondack Trust Company, The",315 Church Street,Saratoga Springs,12866,Saratoga,POINT (-73.8045 43.08548)
"Adirondack Trust Company, The",322 RUHLE ROAD,BALLSTON LAKE,12019,Saratoga,POINT (-73.80847 42.93618)
"Adirondack Trust Company, The",376 Bay Road,Queensbury,12804,Saratoga,POINT (-73.65237 43.33505)
"Adirondack Trust Company, The",224 Church Avenue,Ballston Spa,12020,Saratoga,POINT (-73.8519 42.99012)
"Adirondack Trust Company, The",13 Triebel Avenue,Ballston Spa,12020,Saratoga,POINT (-73.85219 43.04756)
"Adirondack Trust Company, The",3017 Route  50,Wilton,12866,Saratoga,POINT (-73.74739 43.10011)
"Adirondack Trust Company, The",162 Northline Road,Ballston Spa,12020,Saratoga,POINT (-73.83798 43.02283)
"Adirondack Trust Company, The",Route  50  and  Route 9,Saratoga Springs,12866,Saratoga,POINT (-73.78812 43.0751)
"Adirondack Trust Company, The",112 Broadway,Saratoga Springs,12866,Saratoga,POINT (-73.78903 43.06857)
"Adirondack Trust Company, The",650 Maple Avenue - Route 9,Wilton,12866,Saratoga,POINT (-73.76817 43.12332)
"Adirondack Trust Company, The",2510 Route 9,Malta,12020,Saratoga,POINT (-73.79286 42.97236)
"Adirondack Trust Company, The",473 Broadway,Saratoga Springs,12866,Saratoga,POINT (-73.78533 43.08308)
Advantage Federal C.U.,1555 Long Pd Rd,Rochester,14626,Monroe,POINT (-77.70515 43.19372)
Advantage Federal C.U.,225 WEST BROAD STREET,ROCHESTER,14614,Monroe,POINT (-77.61793 43.15349)
Advantage Federal C.U.,1 Lomb Memorial Drive,Rochester,14623,Monroe,POINT (-77.67509 43.08476)
Advantage Federal C.U.,6000 Reynolds Drive,Rochester,14623,Monroe,POINT (-77.67916 43.08896)
Advantage Federal C.U.,321 NEW CAMPUS DRIVE,BROCKPORT,14420,Monroe,POINT (-77.9509 43.20916)
Advantage Federal C.U.,100 KINGS HIGHWAY SOUTH,ROCHESTER,14617,Monroe,POINT (-77.5757 43.20226)
Advantage Federal C.U.,1000 SOUTH AVENUE,ROCHESTER,14620,Monroe,POINT (-77.60657 43.13569)
Advantage Federal C.U.,2515 BROWNCROFT BOULEVARD,ROCHESTER,14626,Monroe,POINT (-77.50459 43.15347)
Advantage Federal C.U.,1975 BUFFALO ROAD,ROCHESTER,14624,Monroe,POINT (-77.70804 43.14795)
Advantage Federal C.U.,38 LOMB MEMORIAL DRIVE,ROCHESTER,14623,Monroe,POINT (-77.67451 43.09165)
Advantage Federal C.U.,1625 MOUNT HOPE AVENUE,ROCHESTER,14620,Monroe,POINT (-77.62102 43.11847)
Advantage Federal C.U.,601 ELMWOOD AVENUE,ROCHESTER,14642,Monroe,POINT (-77.62437 43.1239)
Advantage Federal C.U.,1425 Portland Avenue,Rochester,14621,Monroe,POINT (-77.58545 43.1929)
Advantage Federal C.U.,100 RESIDENCE DRIVE,BROCKPORT,14420,Monroe,POINT (-77.94568 43.21097)
Advantage Federal C.U.,70 Metro Park,Rocheter,14623,Monroe,POINT (-77.61575 43.0982)
Alco Federal Credit Union,24 East Main St,Cuba,14727,Allegany,POINT (-78.27481 42.21751)
Alco Federal Credit Union,2859 Lindy Lane,Wellsville,14895,Allegany,POINT (-77.97888 42.12351)
Alco Federal Credit Union,32 Greenwich Street,Belmont,14813,Allegany,POINT (-78.0285 42.22504)
Alco Federal Credit Union,25 West Main Street,Friendship,14739,Allegany,POINT (-78.13484 42.2075)
Alden State Bank,5802 Broadway,Lancaster,14086,Erie,POINT (-78.64491 42.89545)
Alden State Bank,13200 BROADWAY,ALDEN,14004,Erie,POINT (-78.49614 42.90021)
Alden State Bank,6545 Transit Rd,Clarence,14051,New York,POINT (-78.69612 43.02704)
Alma Bank,805 PORT WASHINGTON BLVD,PORT WASHINGTON,11050,New York,POINT (-73.68337 40.82751)
Alma Bank,4401 13th Avenue,Brooklyn,11219,Kings,POINT (-73.98929 40.63774)
Alma Bank,1023 AVENUE OF THE AMERICAS,NEW YORK,10018,New York,POINT (-73.98588 40.75242)
Alma Bank,1705 CROSBY AVENUE,BRONX,10461,Bronx,POINT (-73.83127 40.84549)
Alma Bank,1218 Kings Highway,Brooklyn,11237,Kings,POINT (-73.96041 40.60789)
Alma Bank,41-02 BROADWAY,ASTORIA,11103,Queens,POINT (-73.91802 40.75853)
Alma Bank,196-03 NORTHERN BOULEVARD,FLUSHING,11358,Queens,POINT (-73.78546 40.75795)
Alma Bank,28-20 Ditmars Boulevard,Astoria,11105,Queens,POINT (-73.9118 40.77693)
Alma Bank,8424 5th Avenue,Brooklyn,11209,Kings,POINT (-74.02559 40.62229)
Alma Bank,2831 31st Street,Astoria,11102,Queens,POINT (-73.92094 40.76745)
Alternatives Federal Credit Union,125 North Fulton Street,Ithaca,14850,Tompkins,POINT (-76.51052 42.43955)
Alternatives Federal Credit Union,125 N Fulton St,Ithaca,14850,Tompkins,POINT (-76.51052 42.43955)
Amalgamated Bank,2067 Bartow Avenue,Bronx,10475,Bronx,POINT (-73.82812 40.86958)
Amalgamated Bank,1212 Fulton Street,Brooklyn,11216,Kings,POINT (-73.95207 40.68053)
Amalgamated Bank,10 East 14th Street,New York,10003,New York,POINT (-73.99296 40.73573)
Amerasia Bank,214-01 Northern Blvd.,Bayside,11361,Queens,POINT (-73.7689 40.76033)
AmeriCU Credit Union,295 GRANT AVENUE,AUBURN,13021,Cayuga,POINT (-76.54492 42.95423)
AmeriCU Credit Union,871 ARSENAL ST,WATERTOWN,13601,Jefferson,POINT (-75.92991 43.97659)
AmeriCU Credit Union,231 HILL ROAD,ROME,13440,Oneida,POINT (-75.41963 43.22086)
AmeriCU Credit Union,7474 OSWEGO RD,LIVERPOOL,13090,Onondaga,POINT (-76.2206 43.13288)
AmeriCU Credit Union,200 WALTON STREET,SYRACUSE,13202,Onondaga,POINT (-76.15578 43.04797)
AmeriCU Credit Union,326 EAST STATE STREET,HERKIMER,13350,Herkimer,POINT (-74.98007 43.02751)
AmeriCU Credit Union,6414 STATE ROUTE 31,CICERO,13039,Onondaga,POINT (-76.07788 43.17673)
AmeriCU Credit Union,7394 UTICA BOULEVARD,LOWVILLE,13367,Lewis,POINT (-75.48403 43.77803)
AmeriCU Credit Union,5212 WEST GENESEE STREET,CAMILLUS,13031,Onondaga,POINT (-76.26781 43.04153)
AmeriCU Credit Union,82 Albany Street,Cazenovia,13035,Madison,POINT (-75.85269 42.92989)
AmeriCU Credit Union,3944 NY Rt 281,Cortland,13045,Cortland,POINT (-76.20493 42.59759)
AmeriCU Credit Union,590 Bridge Street,Geddes,13209,Onondaga,POINT (-76.21264 43.0723)
AmeriCU Credit Union,817 S 4TH STREET,FULTON,13069,Sullivan,POINT (-76.39962 43.3095)
AmeriCU Credit Union,4865 WEST SENECA TURNPIKE,SYRACUSE,13215,Onondaga,POINT (-76.18009 43.00594)
AmeriCU Credit Union,412 Genesee Street,Oneida,13421,Madison,POINT (-75.66384 43.07788)
AmeriCU Credit Union,10750 Enduring Freedom Drive,Fort Drum,13602,Jefferson,POINT (-75.80727 44.04674)
AmeriCU Credit Union,401 HERKIMER ROAD,UTICA,13502,Oneida,POINT (-75.20423 43.11441)
AmeriCU Credit Union,722 W BROADWAY,FULTON,13069,Sullivan,POINT (-76.43193 43.31672)
AmeriCU Credit Union,350 LELAND AVE,UTICA,13502,Oneida,POINT (-75.20588 43.11348)
AmeriCU Credit Union,6303 THOMPSON ROAD,SYRACUSE,13206,Onondaga,POINT (-76.08961 43.07598)
AmeriCU Credit Union,4957 COMMERCIAL DRIVE,YORKVILLE,13495,Oneida,POINT (-75.29906 43.10372)
AmeriCU Credit Union,280 GENESEE STREET,ONEIDA,13421,Madison,POINT (-75.65162 43.07857)
AmeriCU Credit Union,1916 BLACK RIVER BOULEVARD,ROME,13440,Oneida,POINT (-75.43528 43.23686)
AmeriCU Credit Union,5439 NORTH BURDICK STREET,FAYETTEVILLE,13066,Onondaga,POINT (-76.01842 43.0389)
American Broadcast Employees Federal Credit Union,30 West 66th Street,New York,10023,New York,POINT (-73.97977 40.77284)
American Broadcast Employees Federal Credit Union,77 West 66th Street,New York,10023,New York,POINT (-73.98019 40.77302)
Apple Bank,120 East Fordham Road,Bronx,10458,Bronx,POINT (-73.89838 40.8623)
Apple Bank,78-01 37TH AVENUE,JACKSON HEIGHTS,11372,Queens,POINT (-73.88773 40.74939)
Apple Bank,345 SEVENTH AVENUE,NEW YORK,10012,New York,POINT (-73.99266 40.74817)
Apple Bank,370 EAST 149TH STREET,BRONX,10455,Bronx,POINT (-73.91867 40.81633)
Apple Bank,2021 Bartow Avenue,Bronx,10475,Bronx,POINT (-73.83078 40.86911)
Apple Bank,1212 AVENUE M,BROOKLYN,11230,Kings,POINT (-73.96228 40.61776)
Apple Bank,79 Route 59,Monsey,10952,Rockland,POINT (-74.06691 41.10755)
Apple Bank,30-98c Steinway St,Astoria,11103,Queens,POINT (-73.91699 40.76144)
Apple Bank,101 E170TH ST,NEW YORK,10452,New York,POINT (-73.91556 40.83941)
Apple Bank,326 Court St,Brooklyn,11229,Kings,POINT (-73.99559 40.68297)
Apple Bank,1289 Boston Post Rd,Larchmont,10538,Westchester,POINT (-73.74642 40.93715)
Apple Bank,32 North Main St,New City,10956,Rockland,POINT (-73.98875 41.14834)
Apple Bank,1421 Sheepshead Bay Rd,Brooklyn,11235,Kings,POINT (-73.95464 40.58749)
Apple Bank,278 Eighth Ave,New York,,New York,POINT (-73.99808 40.74584)
Apple Bank,122 EAST 42ND STREET,NEW YORK,10168,New York,POINT (-73.97633 40.7516)
Apple Bank,169 EAST 125TH STREET,NEW YORK,10035,New York,POINT (-73.93629 40.8039)
Apple Bank,3815 BROADWAY,NEW YORK,10032,New York,POINT (-73.94419 40.83514)
Apple Bank,592 W207TH ST,NEW YORK,10034,New York,POINT (-73.92089 40.86718)
Apple Bank,1555 FIRST AVENUE,NEW YORK,10028,New York,POINT (-73.95182 40.77347)
Apple Bank,43-73 Kissena Boulevard,Flushing,11355,Queens,POINT (-73.82288 40.75394)
Apple Bank,2100 Broadway,New York,10023,New York,POINT (-73.98159 40.77964)
Apple Bank,1320 Avenue of the Americas,New York,10019,New York,POINT (-73.97883 40.76206)
Apple Bank,12 Westchester Square,Bronx,10461,Bronx,POINT (-73.84331 40.84015)
Apple Bank,2186 WHITE PLAINS RD,BRONX,10462,Bronx,POINT (-73.86765 40.85604)
Apple Bank,44 EAST 161ST STREET,BRONX,10451,Bronx,POINT (-73.92597 40.82764)
Apple Bank,1321 Kings Highway,Brooklyn,11229,Kings,POINT (-73.95935 40.60829)
Apple Bank,326 COURT STREET,BROOKLYN,11231,Kings,POINT (-73.99559 40.68297)
Apple Bank,1075 CENTRAL PARK AVENUE,SCARSDALE,10583,Westchester,POINT (-73.82468 40.98794)
Apple Bank,666 Columbus Ave (Rose Hill Shopping Center),Thornwood,10594,Westchester,POINT (-73.77103 41.11345)
Apple Bank,943 Carmens Road,Massapequa,11758,Nassau,POINT (-73.43178 40.70278)
Apple Bank,776 Manhattan Avenue,Brooklyn,11222,Kings,POINT (-73.9528 40.72731)
Apple Bank,6701 18th Avenue,Brooklyn,11204,Kings,POINT (-73.99152 40.61782)
Apple Bank,3075 Veterans Highway,Ronkonkoma,11779,Suffolk,POINT (-73.13715 40.78819)
Apple Bank,1401 Avenue J,Brooklyn,11230,Kings,POINT (-73.96222 40.62508)
Apple Bank,111 FOURTH AVE,NEW YORK,10003,New York,POINT (-73.9901 40.73243)
Apple Bank,3552-B Johnson Avenue,Bronx,10463,Bronx,POINT (-73.90969 40.88655)
Apple Bank,1168 FIRST AVENUE,NEW YORK,10021,New York,POINT (-73.95961 40.76288)
Apple Bank,4519 13th Avenue,Brooklyn,11219,Kings,POINT (-73.99021 40.63685)
Apple Bank,1973 86th Street,Brooklyn,11214,Kings,POINT (-73.99864 40.60484)
Apple Bank,7415 Fifth Avenue,Brooklyn,11209,Kings,POINT (-74.02248 40.62988)
Apple Bank,405 Brighton Beach Avenue,Brooklyn,11235,Kings,POINT (-73.96309 40.57726)
Apple Bank,486 NEPTUNE AVENUE,BROOKLYN,11224,Kings,POINT (-73.97203 40.57977)
Apple Bank,1575 50th Street,Brooklyn,11219,Kings,POINT (-73.98638 40.63064)
Apple Bank,365 South Oyster Bay Road,Plainview,11803,Nassau,POINT (-73.50291 40.78575)
Apple Bank,50 Montauk Highway,East Hampton,11937,Suffolk,POINT (-72.20795 40.95478)
Apple Bank,138 Main Street,Sag Harbor,11963,Suffolk,POINT (-72.29547 40.9997)
Apple Bank,10 Route 25A,East Setauket,11733,Suffolk,POINT (-73.10637 40.94103)
Apple Bank,775 Pulaski Road,Greenlawn,11740,Suffolk,POINT (-73.35048 40.86745)
Apple Bank,91 Route 111,Smithtown,11787,Suffolk,POINT (-73.18798 40.85023)
Apple Bank,151 East Sunrise Highway,North Lindenhurst,11757,Suffolk,POINT (-73.37447 40.70355)
Apple Bank,41 Commack Road,Commack,11725,Suffolk,POINT (-73.29338 40.842)
Apple Bank,8 LITTLE NECK RD,BABYLON,11702,Suffolk,POINT (-73.33446 40.69331)
Apple Bank,318 Albany Avenue,Brooklyn,11213,Kings,POINT (-73.93947 40.6688)
Apple Bank,2655 Richmond Avenue,Staten Island,10314,Richmond,POINT (-74.16732 40.58207)
Apple Bank,98-08 QUEENS BOULEVARD,FOREST HILLS,11375,Queens,POINT (-73.85332 40.72703)
Apple Bank,115 Cedarhurst Avenue,Cedarhurst,11516,Nassau,POINT (-73.72403 40.62223)
Apple Bank,44 Lee Avenue,Brooklyn,11211,Kings,POINT (-73.96054 40.70625)
Apple Bank,10 Hanover Square,New York,10005,New York,POINT (-74.00922 40.70434)
Apple Bank,116-12 Queens Boulevard,Kew Gardens,11375,Queens,POINT (-73.83 40.71379)
Apple Bank,85 Pondfield Road,Bronxville,10708,Westchester,POINT (-73.8329 40.94023)
Apple Bank,604 WEST 181ST STREET,NEW  YORK,10033,New York,POINT (-73.93406 40.84946)
Apple Bank,3986 Hempstead Turnpike,Bethpage,11714,Nassau,POINT (-73.48902 40.72493)
Apple Bank,200 Birch Hill Road,Locust Valley,11560,Nassau,POINT (-73.59588 40.87937)
Apple Bank,333 Glen Cove Avenue,Sea Cliff,11579,Nassau,POINT (-73.6351 40.84126)
Apple Bank,74 Hugh J Grant Circle,Bronx,10472,Bronx,POINT (-73.86049 40.83284)
Apple Bank,1954 Flatbush Avenue,Brooklyn,11234,Kings,POINT (-73.93647 40.62225)
Apple Bank,1693 Hempstead Turnpike,Elmont,11003,Nassau,POINT (-73.70341 40.70722)
Apple Bank,91-31 Queens Boulevard,Elmhurst,11373,Queens,POINT (-73.86955 40.73344)
Apple Bank,33 Mamaroneck Avenue,White Plains,10601,Westchester,POINT (-73.76617 41.03129)
Apple Bank,465 Grand Street,New York,10002,New York,POINT (-73.98361 40.71501)
Apple Bank,10 Downing Street,New York,10014,New York,POINT (-74.00299 40.72954)
Apple Bank,280 East Park Avenue,Long Beach,11561,Nassau,POINT (-73.65568 40.58845)
Apple Bank,"167 Walt Whitman Road, Route 110",Huntington Station,11746,Suffolk,POINT (-73.4131 40.82377)
Apple Bank,1395 Northern Boulevard,Manhasset,11030,Nassau,POINT (-73.69541 40.79339)
Apple Bank,418 Myrtle Avenue,Brooklyn,11205,Kings,POINT (-73.96912 40.69311)
Apple Bank,1000 Merchants Councourse,Westbury,11590,Nassau,POINT (-73.59249 40.74675)
Apple Bank,1753 East Main Street,Mohegan Lake,10547,Westchester,POINT (-73.85226 41.32374)
Apple Bank,170-29 HILLSIDE AVENUE,JAMAICA,11432,Queens,POINT (-73.79085 40.71173)
Arrow Bank National Association,221 Corinth Road,Queensbury,12804,Warren,POINT (-73.68329 43.29666)
Arrow Bank National Association,386 Clifton Park Center Road,Clifton Park,12065,Saratoga,POINT (-73.77604 42.86011)
Arrow Bank National Association,501 New Karner Road,Albany,12205,Albany,POINT (-73.83808 42.74318)
Arrow Bank National Association,123 Montcalm Street,Ticonderoga,12883,Essex,POINT (-73.4233 43.84876)
Arrow Bank National Association,251 State St,Schenectady,12305,Schenectady,POINT (-73.94468 42.81449)
Arrow Bank National Association,120 Hoosick Street,Troy,12180,Rensselaer,POINT (-73.6765 42.73871)
Arrow Bank National Association,1963 Altamont Avenue,Rotterdam,12303,Schenectady,POINT (-73.95587 42.7803)
Arrow Bank National Association,545 Troy-Schenectady Road,Latham,12110,Albany,POINT (-73.76406 42.75062)
Arrow Bank National Association,14 Durkee Street,Plattsburgh,12901,Clinton,POINT (-73.45227 44.69567)
Arrow Bank National Association,3025 Route 50,Saratoga Springs,12866,Saratoga,POINT (-73.74597 43.10024)
Arrow Bank National Association,171 South Broadway,Saratoga Springs,12866,Saratoga,POINT (-73.788 43.07215)
Arrow Bank National Association,3 Carpenter Lane,Wilton,12831,Saratoga,POINT (-73.77157 43.10595)
Arrow Bank National Association,212 Main Street,Salem,12865,Washington,POINT (-73.32739 43.17349)
Arrow Bank National Association,93 Main Street,Argyle,12809,Washington,POINT (-73.49131 43.23784)
Arrow Bank National Association,238 Main Street,Corinth,12822,Saratoga,POINT (-73.83316 43.24588)
Arrow Bank National Association,91 West Avenue,Saratoga Springs,12866,Saratoga,POINT (-73.80425 43.07885)
Arrow Bank National Association,5023 US Avenue,Plattsburgh,12903,Clinton,POINT (-73.44736 44.68082)
Arrow Bank National Association,1153 STATE ROUTE 29,GREENWICH,12834,Washington,POINT (-73.51569 43.10237)
Arrow Bank National Association,250 GLEN STREET,GLENS FALLS,12801,Warren,POINT (-73.64601 43.31068)
Arrow Bank National Association,402 Bay Road,Queensbury,12804,Warren,POINT (-73.6533 43.33708)
Arrow Bank National Association,4 Broad Street Plaza,Glens Falls,12801,Warren,POINT (-73.6559 43.30586)
Arrow Bank National Association,25 WEST MAIN STREET,CAMBRIDGE,12816,Washington,POINT (-73.38448 43.02815)
Arrow Bank National Association,6353 Route 9,Chestertown,12817,Warren,POINT (-73.80077 43.65263)
Arrow Bank National Association,20 SMITHFIELD BOULEVARD,PLATTSBURGH,12901,Clinton,POINT (-73.4934 44.69821)
Arrow Bank National Association,8646 State Route 22,Granville,12832,Washington,POINT (-73.26344 43.39521)
Arrow Bank National Association,3019 Route 4,Hudson Falls,12839,Washington,POINT (-73.57515 43.31682)
Arrow Bank National Association,2252 State Route 9,Lake George,12845,Warren,POINT (-73.71299 43.41673)
Arrow Bank National Association,15 Main Street,Lake Luzerne,12846,Warren,POINT (-73.84127 43.31776)
Arrow Bank National Association,696 Upper Glen Street,Queensbury,12804,Warren,POINT (-73.6659 43.32706)
Arrow Bank National Association,73 Broad Street,Schuylerville,12871,Warren,POINT (-73.58188 43.09855)
Arrow Bank National Association,1080 ROUTE 9,SCHROON LAKE,12870,Warren,POINT (-73.76197 43.83597)
Arrow Bank National Association,1127 WICKER STREET / ROUTE 9N,TICONDEROGA,12883,Essex,POINT (-73.43819 43.85667)
Arrow Bank National Association,3853 Main Street,Warrensburg,12885,Warren,POINT (-73.77462 43.49608)
Arrow Bank National Association,110 George Street,Fort Ann,12827,Washington,POINT (-73.48707 43.41694)
Arrow Bank National Association,4307 Main Street,Port Henry,12974,Essex,POINT (-73.45958 44.04755)
Arrow Bank National Association,343 Broadway,Fort Edward,12828,Washington,POINT (-73.58651 43.2829)
Arrow Bank National Association,147 Saratoga Avenue,South Glens Falls,12803,Saratoga,POINT (-73.63989 43.28665)
BCB Community Bank,240 Page Avenue,Staten Island,10307,Richmond,POINT (-74.23563 40.51771)
BCB Community Bank,70 Broadway,Hicksville,11801,Nassau,POINT (-73.52421 40.76718)
BCB Community Bank,354 NEW DORP LANE,STATEN ISLAND,10306,Richmond,POINT (-74.1108 40.57103)
BCB Community Bank,1500 forest avenue,staten island,10302,Richmond,POINT (-74.13856 40.62428)
Ballston Spa National Bank,3060 Route 9N,Greenfield Center,12833,Saratoga,POINT (-73.84639 43.12589)
Ballston Spa National Bank,428 Hudson Avenue,Mechanicville,12118,Saratoga,POINT (-73.66747 42.92978)
Ballston Spa National Bank,344 Rowland Street,Ballston Spa,12020,Saratoga,POINT (-73.84977 43.04356)
Ballston Spa National Bank,625 Maple Avenue,Saratoga Springs,12866,Saratoga,POINT (-73.76991 43.11988)
Ballston Spa National Bank,124 Dunning Street,Ballston Spa,12020,Saratoga,POINT (-73.7914 42.97179)
Ballston Spa National Bank,990 Route 67,Ballston Spa,12020,Saratoga,POINT (-73.8514 42.98727)
Ballston Spa National Bank,1202 TROY SCHENECTADY ROAD,LATHAM,12110,Albany,POINT (-73.82313 42.77093)
Ballston Spa National Bank,13 MAPLE ROAD,VOORHEESVILLE,12186,Albany,POINT (-73.92298 42.64911)
Ballston Spa National Bank,1714 ROUTE 9,CLIFTON PARK,12065,Saratoga,POINT (-73.77041 42.86484)
Ballston Spa National Bank,87 Front Street,Ballston Spa,12020,Saratoga,POINT (-73.85191 43.00239)
Ballston Spa National Bank,1973 Western Ave,Albany,12203,Albany,POINT (-73.87921 42.69549)
Ballston Spa National Bank,5091 Sacandaga Road,Galway,12074,Saratoga,POINT (-74.0312 43.0125)
Ballston Spa National Bank,770 Saratoga Road,Burnt Hills,12027,Saratoga,POINT (-73.90256 42.90453)
Banco Popular North America,301 Fordham Road,Bronx,10458,Bronx,POINT (-73.89461 40.86217)
Banco Popular North America,3851 Nostrand Avenue,Brooklyn,11235,Kings,POINT (-73.9396 40.59007)
Banco Popular North America,1170 Castle Hill Avenue,Bronx,10462,Bronx,POINT (-73.85096 40.83156)
Banco Popular North America,11 West 51st Street,New York,10019,New York,POINT (-73.97778 40.75958)
Banco Popular North America,375 Park Avenue South,New York,10010,New York,POINT (-73.98465 40.74244)
Banco Popular North America,310 Houston Street,New York,10002,New York,POINT (-73.98347 40.72144)
Banco Popular North America,875 Third Avenue,New York,10022,New York,POINT (-73.96961 40.75739)
Banco Popular North America,28-36 Steinway Street,Long Island City,11103,Queens,POINT (-73.91448 40.76453)
Banco Popular North America,441 Second Avenue,New York,10010,New York,POINT (-73.97985 40.73936)
Banco Popular North America,35-30 Junction Boulevard,Corona,11368,Queens,POINT (-73.87129 40.75244)
Banco Popular North America,66 Court Street,Brooklyn,11201,Kings,POINT (-73.99136 40.6918)
Banco Popular North America,1200 St. Nicholas Avenue,New York,10032,New York,POINT (-73.93872 40.84245)
Banco Popular North America,1230 Fulton Street,Brooklyn,11216,Kings,POINT (-73.95128 40.68049)
Banco Popular North America,956 Flatbush Avenue,Brooklyn,11226,Kings,POINT (-73.95818 40.64809)
Banco Popular North America,2812 Broadway,New York,10025,New York,POINT (-73.96719 40.80333)
Banco Popular North America,180 Dyckman Street,New York,10040,New York,POINT (-73.92653 40.86436)
Banco Popular North America,2923 Third Avenue,Bronx,10455,Bronx,POINT (-73.91574 40.81742)
Banco Popular North America,918 Seneca Avenue,Ridgewood,11385,Queens,POINT (-73.90338 40.70025)
Banco Popular North America,2095 Ralph Avenue,Brooklyn,11234,Kings,POINT (-73.91752 40.62463)
Banco Popular North America,231 West 125th Street,New York,10027,New York,POINT (-73.9495 40.80947)
Banco Popular North America,1619 Sheepshead Bay Road,Brooklyn,11235,Kings,POINT (-73.95269 40.58698)
Banco Popular North America,134 Delancy Street,New York,10002,New York,POINT (-73.98718 40.71832)
Banco Popular North America,3540 Broadway,New York,10031,New York,POINT (-73.95047 40.82626)
Banco Popular North America,752 East Tremont Avenue,Bronx,10457,Bronx,POINT (-73.88922 40.84447)
Banco Popular North America,90 West 96th Street,New York,10025,New York,POINT (-73.96687 40.79257)
Banco Popular North America,166 Livingston Street,Brooklyn,11201,Kings,POINT (-73.9873 40.69027)
Banco Popular North America,83-22 Baxter Avenue,Elmhurst,11373,Queens,POINT (-73.88265 40.74758)
Banco Popular North America,615 West 181 Street,New York,10033,New York,POINT (-73.93458 40.84967)
Banco Popular North America,1620 Pitkin Avenue,Brooklyn,11212,Kings,POINT (-73.91378 40.66924)
Banco Popular North America,15 Graham Avenue,Brooklyn,11205,Kings,POINT (-73.94228 40.7018)
Banco Popular North America,164 East 116th Street,New York,10029,New York,POINT (-73.94098 40.79835)
Banco Popular North America,1046 Southern Boulevard,Bronx,10459,Bronx,POINT (-73.89188 40.82414)
Banco Popular North America,285 Madison Avenue,New York,10014,New York,POINT (-73.9801 40.75169)
Banco Popular North America,52-16th Fifth Avenue,Brooklyn,11220,Kings,POINT (-73.97709 40.68139)
Bank On Buffalo,5190 Sheridan Drive,Williamsville,14221,Erie,POINT (-78.7408 42.9788)
